type_id;vendor_name;vendor_name_abbr;name;name_extension;seats;doors;gear;trunk;air_condition;gps;min_age;type;drive;img_file_name;price;loc_name
5;Volkswagen;VW;Golf;;5;4;manually;2;1;0;18;Limousine;Combuster;vw-golf-5d-grau-2020.png;101.49;Hamburg
6;Skoda;Skoda;Oktavia;Combi;5;5;manually;2;1;0;18;Combi;Combuster;skoda-octavia-kombi-grau-2017.png;110.99;Hamburg
9;BMW;BMW;1er;;5;4;manually;2;1;0;18;Limousine;Combuster;bmw-1er-5d-weiss-2019.png;98.66;Hamburg
11;Volkswagen;VW;Passat;;5;4;manually;2;1;0;21;Limousine;Combuster;vw-passat-4d-schwarz-2018.png;105.49;Hamburg
15;Ford;Ford;S-Max;Turnier;5;5;manually;3;1;0;21;Combi;Combuster;ford-smax-5d-grau-2015.png;113.49;Hamburg
18;Audi;Audi;A4;;5;4;manually;2;1;0;21;Limousine;Combuster;audi-a4-4d-blau-2019.png;121.49;Hamburg
25;Audi;Audi;A3;Cabriolet;4;2;manually;NULL;1;0;21;Cabrio;Combuster;audi-a3-cabrio-rot-offen-2020.png;131.49;Hamburg
27;Mercedes-Benz;Mercedes-Benz;E200;T-Modell;5;5;automatic;3;1;1;21;Combi;Combuster;mb-e-klasse-kombi-silber-2018.png;149.99;Hamburg
31;Volkswagen;VW;Sharan;Aut.;7;4;automatic;2;1;0;21;Mehrsitzer;Combuster;vw-sharan-van-blau-2016-1.png;196.48;Hamburg
36;BMW;BMW;430/435;Coupé;4;2;automatic;2;1;1;21;Coupé;Combuster;bmw-4er-coupe-2d-silber-2017.png;161.49;Hamburg
53;Maserati;Maserati;Levante;;5;5;NULL;1;1;1;25;SUV;Combuster;maserati-levante-5d-schwarz-2018.png;732.49;Hamburg
56;Mercedes-Benz;Mercedes-Benz;GLS 350;;7;5;automatic;4;1;1;25;SUV;Combuster;mb-gls-5d-weiss-2016.png;609.99;Hamburg
63;BMW;BMW;M850;Coupé;4;2;automatic;2;1;1;25;Coupé;Combuster;bmw-850i-coupe-2d-blau-2019.png;826.49;Hamburg
2;Volkswagen;VW;Polo;;5;5;manually;1;1;0;18;Limousine;Combuster;vw-polo-5d-weiss-2020.png;61.24;Köln
14;Audi;Audi;A3;;5;4;manually;2;1;0;21;Limousine;Combuster;audi-a3-sportback-blau-2020.png;110.50;Köln
16;BMW;BMW;1er;Aut.;5;4;automatic;2;1;0;18;Limousine;Combuster;bmw-1er-5d-weiss-2019-1.png;108.31;Köln
22;Audi;Audi;A4 Avant;Aut.;5;5;automatic;3;1;0;21;Combi;Combuster;audi-a4-kombi-brown-2016.png;133.00;Köln
27;Mercedes-Benz;Mercedes-Benz;E200;T-Modell;5;5;automatic;3;1;1;21;Combi;Combuster;mb-e-klasse-kombi-silber-2018.png;149.99;Köln
27;Mercedes-Benz;Mercedes-Benz;E200;T-Modell;5;5;automatic;3;1;1;21;Combi;Combuster;mb-e-klasse-kombi-silber-2018.png;149.99;Köln
27;Mercedes-Benz;Mercedes-Benz;E200;T-Modell;5;5;automatic;3;1;1;21;Combi;Combuster;mb-e-klasse-kombi-silber-2018.png;149.99;Köln
28;Audi;Audi;A6 45/50 ;Aut.;5;4;automatic;2;1;1;21;Limousine;Combuster;audi-a6-4d-grau-2018.png;152.00;Köln
29;BMW;BMW;530/540 ;Touring Aut.;5;5;automatic;3;1;1;21;Combi;Combuster;bmw-5er-kombi-silber-2017.png;152.99;Köln
34;Audi;Audi;A5 40;Coupé;4;2;automatic;1;1;1;21;Coupé;Combuster;audi-a5-coupe-2d-grau-2017.png;148.49;Köln
47;Ford;Ford;Mustang;Cabrio;4;2;automatic;NULL;1;1;25;Cabrio;Combuster;ford-mustang-cabrio-2d-rot-geschl-2016.png;205.20;Köln
53;Maserati;Maserati;Levante;;5;5;NULL;1;1;1;25;SUV;Combuster;maserati-levante-5d-schwarz-2018.png;732.49;Köln
54;BMW;BMW;X4M;;5;5;manually;2;1;1;25;SUV;Combuster;bmw-x4-m40i-5d-schwarz-2019-1.png;285.99;Köln
57;Mercedes-Benz;Mercedes-Benz;G500;;5;5;automatic;2;1;1;25;SUV;Combuster;mb-g-klasse-5d-grau-2018.png;609.00;Köln
60;Range Rover;Range Rover;Velar;;5;5;automatic;2;0;0;25;SUV;Combuster;land-rover-range-rover-velar-5d-silber-2018.png;410.99;Köln
1;Volkswagen;VW;Up!;;4;2;manually;NULL;0;0;18;Limousine;Combuster;vw-up-5d-weiss-2013.png;56.49;Leipzig
6;Skoda;Skoda;Oktavia;Combi;5;5;manually;2;1;0;18;Combi;Combuster;skoda-octavia-kombi-grau-2017.png;110.99;Leipzig
7;Opel;Opel;Insignia;;5;4;manually;2;1;0;18;Limousine;Combuster;opel-insignia-grand-sport-4d-weiss-2018.png;101.48;Leipzig
9;BMW;BMW;1er;;5;4;manually;2;1;0;18;Limousine;Combuster;bmw-1er-5d-weiss-2019.png;98.66;Leipzig
10;Volkswagen;VW;Touran;;5;5;manually;2;1;0;21;SUV;Combuster;vw-touran-van-weiss-2016.png;105.49;Leipzig
13;Ford;Ford;Mondeo;Turnier;5;5;manually;3;1;0;21;Combi;Combuster;ford-mondeo-turnier-estate-blu-2020-60.png;106.50;Leipzig
14;Audi;Audi;A3;;5;4;manually;2;1;0;21;Limousine;Combuster;audi-a3-sportback-blau-2020.png;110.50;Leipzig
15;Ford;Ford;S-Max;Turnier;5;5;manually;3;1;0;21;Combi;Combuster;ford-smax-5d-grau-2015.png;113.49;Leipzig
16;BMW;BMW;1er;Aut.;5;4;automatic;2;1;0;18;Limousine;Combuster;bmw-1er-5d-weiss-2019-1.png;108.31;Leipzig
20;Volkswagen;VW;Tiguan;Allspace;5;5;manually;2;1;0;21;SUV;Combuster;vw-tiguan-allspace-5d-grau-2019.png;108.50;Leipzig
25;Audi;Audi;A3;Cabriolet;4;2;manually;NULL;1;0;21;Cabrio;Combuster;audi-a3-cabrio-rot-offen-2020.png;131.49;Leipzig
28;Audi;Audi;A6 45/50 ;Aut.;5;4;automatic;2;1;1;21;Limousine;Combuster;audi-a6-4d-grau-2018.png;152.00;Leipzig
29;BMW;BMW;530/540 ;Touring Aut.;5;5;automatic;3;1;1;21;Combi;Combuster;bmw-5er-kombi-silber-2017.png;152.99;Leipzig
35;BMW;BMW;X3 20;;5;5;manually;3;1;1;25;SUV;Combuster;bmw-x3-5d-grau-2018.png;152.48;Leipzig
38;Jaguar;Jaguar;Jaguar I-PACE;;5;5;automatic;2;0;1;25;SUV;Electric;jaguar-i-pace-5d-grau-2018-elektro.png;217.49;Leipzig
41;Audi;Audi;A7;Cabrio;4;2;automatic;NULL;1;1;25;Cabrio;Combuster;bmw-8er-cabrio-2d-gruen-2019-offen.png;188.99;Leipzig
42;BMW;BMW;M2;Coupé;4;2;automatic;NULL;1;1;25;Coupé;Combuster;bmw-m2-2d-blau-2017.png;361.99;Leipzig
43;Volkswagen;VW;T6;Transporter;9;5;manually;2;1;0;21;Mehrsitzer;Combuster;vw-t6-van-schwarz-2017.png;171.49;Leipzig
44;Mercedes-Benz;Mercedes-Benz;Vito;Aut.;9;5;automatic;2;1;0;21;Mehrsitzer;Combuster;mb-vito-van-silber-2015.png;198.50;Leipzig
46;BMW;BMW;X5;;5;5;automatic;4;1;1;25;SUV;Combuster;bmw-x5-5d-weiss-2018.png;242.00;Leipzig
3;BMW;BMW;Mini;3-Türer;4;3;manually;2;1;0;18;Limousine;Combuster;mini-one-3d-ivory-2016.png;93.99;München
3;BMW;BMW;Mini;3-Türer;4;3;manually;2;1;0;18;Limousine;Combuster;mini-one-3d-ivory-2016.png;93.99;München
9;BMW;BMW;1er;;5;4;manually;2;1;0;18;Limousine;Combuster;bmw-1er-5d-weiss-2019.png;98.66;München
11;Volkswagen;VW;Passat;;5;4;manually;2;1;0;21;Limousine;Combuster;vw-passat-4d-schwarz-2018.png;105.49;München
13;Ford;Ford;Mondeo;Turnier;5;5;manually;3;1;0;21;Combi;Combuster;ford-mondeo-turnier-estate-blu-2020-60.png;106.50;München
17;BMW;BMW;M135;;5;5;automatic;2;1;1;25;Limousine;Combuster;bmw-m140i-5d-schwarz-2018.png;88.99;München
20;Volkswagen;VW;Tiguan;Allspace;5;5;manually;2;1;0;21;SUV;Combuster;vw-tiguan-allspace-5d-grau-2019.png;108.50;München
21;Audi;Audi;A4;Aut.;5;4;automatic;2;1;0;21;Limousine;Combuster;audi-a4-4d-blau-2019-1.png;129.99;München
23;BMW;BMW;M340;;5;5;automatic;2;1;0;25;Limousine;Combuster;bmw-M340i-4d-schwarz-2019.png;177.49;München
24;BMW;BMW;X1;;5;5;manually;2;1;0;21;SUV;Combuster;bmw-x1-5d-weiss-2019.png;117.49;München
26;Mercedes-Benz;Mercedes-Benz;E200;Aut.;5;4;automatic;2;1;1;21;Limousine;Combuster;mb-e-klasse-4d-schwarz-2013.png;143.99;München
34;Audi;Audi;A5 40;Coupé;4;2;automatic;1;1;1;21;Coupé;Combuster;audi-a5-coupe-2d-grau-2017.png;148.49;München
35;BMW;BMW;X3 20;;5;5;manually;3;1;1;25;SUV;Combuster;bmw-x3-5d-grau-2018.png;152.48;München
37;BMW;BMW;X4 30;;5;5;automatic;3;1;1;25;SUV;Combuster;bmw-x4-m40i-5d-schwarz-2019.png;144.32;München
41;Audi;Audi;A7;Cabrio;4;2;automatic;NULL;1;1;25;Cabrio;Combuster;bmw-8er-cabrio-2d-gruen-2019-offen.png;188.99;München
42;BMW;BMW;M2;Coupé;4;2;automatic;NULL;1;1;25;Coupé;Combuster;bmw-m2-2d-blau-2017.png;361.99;München
42;BMW;BMW;M2;Coupé;4;2;automatic;NULL;1;1;25;Coupé;Combuster;bmw-m2-2d-blau-2017.png;361.99;München
48;Mercedes-Benz;Mercedes-Benz;S350L;;5;4;automatic;2;1;1;25;Limousine;Combuster;mb-s-klasse-4d-schwarz-2017-1.png;269.48;München
53;Maserati;Maserati;Levante;;5;5;NULL;1;1;1;25;SUV;Combuster;maserati-levante-5d-schwarz-2018.png;732.49;München
54;BMW;BMW;X4M;;5;5;manually;2;1;1;25;SUV;Combuster;bmw-x4-m40i-5d-schwarz-2019-1.png;285.99;München
54;BMW;BMW;X4M;;5;5;manually;2;1;1;25;SUV;Combuster;bmw-x4-m40i-5d-schwarz-2019-1.png;285.99;München
1;Volkswagen;VW;Up!;;4;2;manually;NULL;0;0;18;Limousine;Combuster;vw-up-5d-weiss-2013.png;56.49;Nürnberg
10;Volkswagen;VW;Touran;;5;5;manually;2;1;0;21;SUV;Combuster;vw-touran-van-weiss-2016.png;105.49;Nürnberg
12;BMW;BMW;I3;;4;4;manually;1;1;1;21;Limousine;Electric;bmw-i3-3d-blau-schwarz-2017-elektro.png;102.55;Nürnberg
12;BMW;BMW;I3;;4;4;manually;1;1;1;21;Limousine;Electric;bmw-i3-3d-blau-schwarz-2017-elektro.png;102.55;Nürnberg
15;Ford;Ford;S-Max;Turnier;5;5;manually;3;1;0;21;Combi;Combuster;ford-smax-5d-grau-2015.png;113.49;Nürnberg
21;Audi;Audi;A4;Aut.;5;4;automatic;2;1;0;21;Limousine;Combuster;audi-a4-4d-blau-2019-1.png;129.99;Nürnberg
21;Audi;Audi;A4;Aut.;5;4;automatic;2;1;0;21;Limousine;Combuster;audi-a4-4d-blau-2019-1.png;129.99;Nürnberg
31;Volkswagen;VW;Sharan;Aut.;7;4;automatic;2;1;0;21;Mehrsitzer;Combuster;vw-sharan-van-blau-2016-1.png;196.48;Nürnberg
34;Audi;Audi;A5 40;Coupé;4;2;automatic;1;1;1;21;Coupé;Combuster;audi-a5-coupe-2d-grau-2017.png;148.49;Nürnberg
41;Audi;Audi;A7;Cabrio;4;2;automatic;NULL;1;1;25;Cabrio;Combuster;bmw-8er-cabrio-2d-gruen-2019-offen.png;188.99;Nürnberg
43;Volkswagen;VW;T6;Transporter;9;5;manually;2;1;0;21;Mehrsitzer;Combuster;vw-t6-van-schwarz-2017.png;171.49;Nürnberg
46;BMW;BMW;X5;;5;5;automatic;4;1;1;25;SUV;Combuster;bmw-x5-5d-weiss-2018.png;242.00;Nürnberg
54;BMW;BMW;X4M;;5;5;manually;2;1;1;25;SUV;Combuster;bmw-x4-m40i-5d-schwarz-2019-1.png;285.99;Nürnberg
62;Mercedes-Benz;Mercedes-Benz;S-Klasse;Cabrio;4;2;automatic;1;1;1;25;Cabrio;Combuster;mb-s-klasse-cabrio-2d-silber-2016.png;552.99;Nürnberg
4;Opel;Opel;Astra;;5;4;manually;1;1;0;18;Limousine;Combuster;opel-astra-5d-weiss-2017.png;95.99;Paderborn
8;BMW;BMW;Mini;Cabrio;4;2;manually;NULL;1;0;21;Cabrio;Combuster;mini-cooper-cabrio-2d-weiss-offen-2018.png;156.99;Paderborn
8;BMW;BMW;Mini;Cabrio;4;2;manually;NULL;1;0;21;Cabrio;Combuster;mini-cooper-cabrio-2d-weiss-offen-2018.png;156.99;Paderborn
10;Volkswagen;VW;Touran;;5;5;manually;2;1;0;21;SUV;Combuster;vw-touran-van-weiss-2016.png;105.49;Paderborn
10;Volkswagen;VW;Touran;;5;5;manually;2;1;0;21;SUV;Combuster;vw-touran-van-weiss-2016.png;105.49;Paderborn
12;BMW;BMW;I3;;4;4;manually;1;1;1;21;Limousine;Electric;bmw-i3-3d-blau-schwarz-2017-elektro.png;102.55;Paderborn
17;BMW;BMW;M135;;5;5;automatic;2;1;1;25;Limousine;Combuster;bmw-m140i-5d-schwarz-2018.png;88.99;Paderborn
22;Audi;Audi;A4 Avant;Aut.;5;5;automatic;3;1;0;21;Combi;Combuster;audi-a4-kombi-brown-2016.png;133.00;Paderborn
25;Audi;Audi;A3;Cabriolet;4;2;manually;NULL;1;0;21;Cabrio;Combuster;audi-a3-cabrio-rot-offen-2020.png;131.49;Paderborn
28;Audi;Audi;A6 45/50 ;Aut.;5;4;automatic;2;1;1;21;Limousine;Combuster;audi-a6-4d-grau-2018.png;152.00;Paderborn
37;BMW;BMW;X4 30;;5;5;automatic;3;1;1;25;SUV;Combuster;bmw-x4-m40i-5d-schwarz-2019.png;144.32;Paderborn
45;Audi;Audi;A7;Coupé;4;4;automatic;2;1;1;25;Coupé;Combuster;audi-a7-4d-blau-2019.png;259.49;Paderborn
46;BMW;BMW;X5;;5;5;automatic;4;1;1;25;SUV;Combuster;bmw-x5-5d-weiss-2018.png;242.00;Paderborn
48;Mercedes-Benz;Mercedes-Benz;S350L;;5;4;automatic;2;1;1;25;Limousine;Combuster;mb-s-klasse-4d-schwarz-2017-1.png;269.48;Paderborn
57;Mercedes-Benz;Mercedes-Benz;G500;;5;5;automatic;2;1;1;25;SUV;Combuster;mb-g-klasse-5d-grau-2018.png;609.00;Paderborn
58;Range Rover;Range Rover;Sport;;5;5;automatic;2;1;1;25;SUV;Combuster;land-rover-range-rover-sport-5d-silber-2018.png;433.49;Paderborn
58;Range Rover;Range Rover;Sport;;5;5;automatic;2;1;1;25;SUV;Combuster;land-rover-range-rover-sport-5d-silber-2018.png;433.49;Paderborn
59;BMW;BMW;X5M 50D;;5;5;automatic;4;1;1;25;SUV;Combuster;bmw-x3-m40i-5d-schwarz-2019-2.png;279.49;Paderborn
2;Volkswagen;VW;Polo;;5;5;manually;1;1;0;18;Limousine;Combuster;vw-polo-5d-weiss-2020.png;61.24;Rostock
16;BMW;BMW;1er;Aut.;5;4;automatic;2;1;0;18;Limousine;Combuster;bmw-1er-5d-weiss-2019-1.png;108.31;Rostock
17;BMW;BMW;M135;;5;5;automatic;2;1;1;25;Limousine;Combuster;bmw-m140i-5d-schwarz-2018.png;88.99;Rostock
19;BMW;BMW;3er;Touring;5;5;manually;3;1;0;21;Combi;Combuster;bmw-3er-kombi-grau-2019.png;124.49;Rostock
20;Volkswagen;VW;Tiguan;Allspace;5;5;manually;2;1;0;21;SUV;Combuster;vw-tiguan-allspace-5d-grau-2019.png;108.50;Rostock
31;Volkswagen;VW;Sharan;Aut.;7;4;automatic;2;1;0;21;Mehrsitzer;Combuster;vw-sharan-van-blau-2016-1.png;196.48;Rostock
32;BMW;BMW;2er ;Coupé;4;2;manually;1;1;0;21;Coupé;Combuster;bmw-2er-coupe-2d-blau-2017.png;115.48;Rostock
33;Mercedes-Benz;Mercedes-Benz;SLC;;2;2;manually;NULL;1;1;25;Cabrio;Combuster;mb-slc-cabrio-2d-grau-offen-2016.png;161.98;Rostock
36;BMW;BMW;430/435;Coupé;4;2;automatic;2;1;1;21;Coupé;Combuster;bmw-4er-coupe-2d-silber-2017.png;161.49;Rostock
39;Mercedes-Benz;Mercedes-Benz;C-Klasse;Cabrio;4;2;automatic;NULL;1;1;25;Cabrio;Combuster;mb-c-klasse-cabrio-2d-weiss-2016-offen.png;171.99;Rostock
39;Mercedes-Benz;Mercedes-Benz;C-Klasse;Cabrio;4;2;automatic;NULL;1;1;25;Cabrio;Combuster;mb-c-klasse-cabrio-2d-weiss-2016-offen.png;171.99;Rostock
44;Mercedes-Benz;Mercedes-Benz;Vito;Aut.;9;5;automatic;2;1;0;21;Mehrsitzer;Combuster;mb-vito-van-silber-2015.png;198.50;Rostock
45;Audi;Audi;A7;Coupé;4;4;automatic;2;1;1;25;Coupé;Combuster;audi-a7-4d-blau-2019.png;259.49;Rostock
50;Mercedes-Benz;Mercedes-Benz;S500L;;5;4;automatic;1;1;1;25;Limousine;Combuster;mb-s-klasse-4d-schwarz-lang-2017.png;302.50;Rostock
51;Mercedes-Benz;Mercedes-Benz;V-Klasse;;8;5;automatic;3;1;1;25;Mehrsitzer;Combuster;mb-v-klasse-van-grau-2014.png;539.99;Rostock
61;Mercedes-AMG;Mercedes-AMG;S63;Cabriolet;2;2;automatic;NULL;1;1;25;Cabrio;Combuster;mb-s-amg-cabrio-2d-weiss-offen-2017.png;899.99;Rostock
